gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
971713993,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS217754871,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,PN Braulio Carrillo--Puente Río Sucio,San José,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.146832,-83.94739,NA,NA,NA,NA,NA,NA,1991-08-19,19,8,1991,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS217754871,,,NA,CC_BY_4_0,,obsr348276,,,2025-07-04T13:37:07Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
971465085,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS218352964,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Monteverde,Puntarenas,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.30702,-84.80974,NA,NA,NA,NA,NA,NA,1983-04-16,16,4,1983,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS218352964,,,NA,CC_BY_4_0,,obsr242215,,,2025-07-04T13:40:31Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
971197137,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS217191513,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,near Bijagua,Alajuela,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.727943,-85.048065,NA,NA,NA,NA,NA,NA,2013-03-12,12,3,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS217191513,,,NA,CC_BY_4_0,,obsr230604,,,2025-07-04T13:38:55Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
970153284,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS216003755,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,"Rio Penas Blancas, Costa Rica",Alajuela,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.36199,-84.76879,NA,NA,NA,NA,NA,NA,1990-02-28,28,2,1990,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS216003755,,,NA,CC_BY_4_0,,obsr348276,,,2025-07-04T13:40:56Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
969988890,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS215766401,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Estación Biológica La Selva-OTS,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.431166,-84.00353,NA,NA,NA,NA,NA,NA,2013-01-27,27,1,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS215766401,,,NA,CC_BY_4_0,,obsr278475,,,2025-07-04T13:38:46Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
968930995,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS214767665,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Estación Biológica La Selva-OTS,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.431166,-84.00353,NA,NA,NA,NA,NA,NA,2013-10-20,20,10,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS214767665,,,NA,CC_BY_4_0,,obsr102894,,,2025-07-04T13:39:51Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
965944286,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS211448303,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Rara Avis,Heredia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.28173,-84.04489,NA,NA,NA,NA,NA,NA,2012-03-01,1,3,2012,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS211448303,,,NA,CC_BY_4_0,,obsr428024,,,2025-07-04T13:38:41Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
965770631,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS211301332,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Costa Rica: Soltis Texas A&M Research Station,Alajuela,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.38303,-84.61774,NA,NA,NA,NA,NA,NA,2013-08-14,14,8,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS211301332,,,NA,CC_BY_4_0,,obsr202841,,,2025-07-04T13:37:48Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
962587242,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS207735101,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Costa Rica: Soltis Texas A&M Research Station,Alajuela,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.38303,-84.61774,NA,NA,NA,NA,NA,NA,2013-08-14,14,8,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS207735101,,,NA,CC_BY_4_0,,obsr199533,,,2025-07-04T13:40:17Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
962418212,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS207649776,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Costa Rica: Soltis Texas A&M Research Station,Alajuela,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.38303,-84.61774,NA,NA,NA,NA,NA,NA,2013-08-14,14,8,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS207649776,,,NA,CC_BY_4_0,,obsr114446,,,2025-07-04T13:39:39Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
961635319,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS206803196,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Curi Cancha,Puntarenas,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.306031,-84.81091,NA,NA,NA,NA,NA,NA,2013-08-05,5,8,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS206803196,,,NA,CC_BY_4_0,,obsr334704,,,2025-07-04T13:38:46Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
960257122,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS205357872,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,PA,PN Omar Torrijos (El Copé),Coclé,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,8.66804,-80.59263,NA,NA,NA,NA,NA,NA,2010-08-28,28,8,2010,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS205357872,,,NA,CC_BY_4_0,,obsr33705,,,2025-07-04T13:40:49Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
958459253,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS203124907,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Teleferico del Bosque Lluvioso (Traveling Count from Tram),Limón,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.163442,-83.9155,NA,NA,NA,NA,NA,NA,2013-02-09,9,2,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS203124907,,,NA,CC_BY_4_0,,obsr165151,,,2025-07-04T13:39:30Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
958433305,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS203125591,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Teleferico del Bosque Lluvioso (trail below tram),Limón,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.16473,-83.91577,NA,NA,NA,NA,NA,NA,2013-02-09,9,2,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS203125591,,,NA,CC_BY_4_0,,obsr165151,,,2025-07-04T13:39:40Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
957162620,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS201773987,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Estación Biológica La Selva-OTS,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.431166,-84.00353,NA,NA,NA,NA,NA,NA,2011-02-04,4,2,2011,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS201773987,,,NA,CC_BY_4_0,,obsr206697,,,2025-07-04T13:38:30Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
957048276,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS201429551,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Jamaical Field Station,Alajuela,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.233843,-84.5755,NA,NA,NA,NA,NA,NA,2011-03-24,24,3,2011,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS201429551,,,NA,CC_BY_4_0,,obsr340957,,,2025-07-04T13:40:18Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
956763374,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS201338341,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Jamaical Field Station,Alajuela,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.233843,-84.5755,NA,NA,NA,NA,NA,NA,2013-01-09,9,1,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS201338341,,,NA,CC_BY_4_0,,obsr340957,,,2025-07-04T13:37:43Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
953968099,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS198181988,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,San Gerardo Biological Station,Guanacaste,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.365333,-84.79017,NA,NA,NA,NA,NA,NA,2013-04-10,10,4,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS198181988,,,NA,CC_BY_4_0,,obsr151044,,,2025-07-04T13:41:34Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
952254601,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAMERICA:OBS196188301,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Refugio Aleman--Continental Divide Trail,Alajuela,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.319817,-84.76227,NA,NA,NA,NA,NA,NA,2013-05-10,10,5,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD_CAMERICA,OBS196188301,,,NA,CC_BY_4_0,,obsr354701,,,2025-07-04T13:38:41Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
948570990,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS192484006,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,EARTH University,Limón,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.212557,-83.587074,NA,NA,NA,NA,NA,NA,1997-02-26,26,2,1997,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS192484006,,,NA,CC_BY_4_0,,obsr1479,,,2025-07-04T13:40:12Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
945844509,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS189414448,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,San Luis Canopy,Alajuela,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.211206,-84.534645,NA,NA,NA,NA,NA,NA,2013-04-04,4,4,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS189414448,,,NA,CC_BY_4_0,,obsr276530,,,2025-07-04T13:41:13Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
944896845,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS188252084,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,"Observation at Romeo, Rara Avis",Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.281909,-84.044975,NA,NA,NA,NA,NA,NA,2013-03-22,22,3,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS188252084,,,NA,CC_BY_4_0,,obsr355549,,,2025-07-04T13:37:36Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
